gpa,experience,projects,test_score,communication
2.75,5,16,56,54
3.9,0,6,89,97
3.46,8,0,75,39
3.2,0,12,46,29
2.31,4,18,82,44
2.31,3,18,37,85
2.12,2,16,56,44
3.73,5,12,75,73
3.2,1,15,79,52
3.42,2,7,100,55
2.04,4,18,32,33
3.94,8,17,93,84
3.66,1,0,73,99
2.42,9,13,82,73
2.36,7,18,53,71
2.37,1,14,89,22
2.61,10,17,32,60
3.05,4,1,49,25
2.86,6,16,75,44
2.58,7,17,44,32
3.22,0,5,54,27
2.28,5,18,100,40
2.58,0,3,46,87
2.73,1,0,38,44
2.91,0,7,67,98
3.57,10,6,77,87
2.4,4,2,89,64
3.03,9,9,92,79
3.18,8,9,31,31
2.09,5,18,40,51
3.22,10,13,93,32
2.34,10,1,50,50
2.13,0,0,47,97
3.9,0,17,93,39
3.93,1,6,67,37
3.62,8,7,61,79
2.61,2,0,40,82
2.2,0,2,74,25
3.37,4,7,62,51
2.88,6,14,70,62
2.24,5,4,37,21
2.99,0,2,40,79
2.07,4,18,80,42
3.82,4,0,70,50
2.52,5,14,46,24
3.33,2,7,75,53
2.62,4,1,61,29
3.04,6,2,83,21
3.09,4,13,49,30
2.37,4,13,62,69
3.94,4,10,69,50
3.55,9,15,61,75
3.88,9,3,31,98
3.79,2,19,62,92
3.2,0,4,59,28
3.84,4,20,62,40
2.18,8,13,55,92
2.39,0,15,51,47
2.09,2,17,95,81
2.65,3,6,67,26
2.78,0,9,75,99
2.54,0,6,44,35
3.66,7,0,73,23
2.71,1,20,78,23
2.56,7,18,90,59
3.09,6,15,96,36
2.28,9,18,35,71
3.6,9,3,38,71
2.15,1,17,35,55
3.97,5,1,61,57
3.54,5,0,70,69
2.4,2,14,37,82
2.01,10,4,79,82
3.63,1,19,91,81
3.41,0,10,91,26
3.46,5,9,36,46
3.54,4,1,33,33
2.15,10,2,35,90
2.72,8,11,87,24
2.23,0,19,51,74
3.73,6,4,55,21
3.25,4,4,32,81
2.66,4,5,70,40
2.13,1,8,89,98
2.62,10,1,43,40
2.65,2,20,41,29
3.46,6,11,41,77
3.28,5,2,42,58
3.77,1,19,54,24
2.94,5,11,74,84
2.24,1,16,48,32
3.43,1,9,84,72
3.52,1,13,74,64
3.12,10,16,37,51
3.54,2,17,82,55
2.99,1,18,84,100
3.05,3,16,61,79
2.86,8,13,80,30
2.05,5,8,73,82
2.22,0,7,99,40
2.06,7,1,47,71
3.27,6,12,51,74
2.63,9,6,66,45
3.02,2,8,85,87
3.82,0,10,88,53
2.5,4,13,32,71
2.82,3,3,57,71
3.51,9,12,64,48
2.46,7,1,90,57
2.15,0,4,83,61
2.58,9,10,92,40
2.32,0,5,36,61
3.86,3,17,78,32
3.62,7,20,60,83
3.27,4,9,87,36
3.74,1,3,90,28
3.61,5,8,53,60
2.37,4,5,49,20
3.79,1,1,66,21
3.08,10,16,33,79
3.61,10,4,49,67
3.79,10,5,89,48
2.64,2,11,53,29
2.22,8,20,79,77
2.46,6,9,78,79
2.85,6,20,80,40
3.64,10,5,65,47
3.72,5,7,95,94
2.01,7,1,63,53
3.02,3,11,65,27
2.83,7,12,35,78
2.44,3,20,68,91
2.24,7,6,71,68
2.68,8,9,87,98
3.89,2,12,41,36
2.65,2,16,32,79
3.04,10,20,47,64
3.41,1,13,69,88
2.73,9,1,50,51
3.94,2,10,44,63
3.92,2,0,55,84
2.5,4,18,37,27
2.99,4,20,71,96
2.6,1,3,73,91
2.57,9,18,43,62
2.07,5,20,31,20
3.22,4,10,66,70
3.01,5,7,98,43
2.1,0,10,67,43
2.56,4,3,70,36
3.82,8,16,91,24
2.48,9,6,89,39
2.29,1,7,43,40
2.98,0,2,31,77
3.97,9,1,99,50
2.48,10,14,46,30
3.34,8,4,57,71
3.52,9,0,95,34
2.48,8,3,64,26
3.46,8,14,34,47
2.74,5,19,94,70
3.26,7,18,69,77
3.27,10,2,85,24
3.07,0,19,65,24
2.18,9,10,74,27
3.67,3,16,52,83
2.64,0,12,76,29
